#, cameraTimestamp, cameraDelay, blinkProcTime, fx, fy, cx, cy, width, height, leftEyeX, leftEyeY, rightEyeX, rightEyeY, headPoseX, headPoseY, headPoseZ, headAngleX, headAngleY, headAngleZ, leftEye3DX, leftEye3DY, leftEye3DZ, rightEye3DX, rightEye3DY, rightEye3DZ, lux, deviceAccelerationX, deviceAccelerationY, deviceAccelerationZ, deviceGyrscopeX, deviceGyrscopeY, deviceGyrscopeZ
634, 47382813.016307, 34.857794, 5.460833, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.992630, 238.689049, 343.099869, 238.618469, 2.682888, 36.644520, 432.625946, -0.180969, -0.027852, 0.010921, -1.683022, -28.095251, 421.000977, -1.603629, 32.983322, 422.738495, 344.853729, 0.359908, 0.359908, 0.359908, 0.033289, 0.040879, -0.014381
635, 47382824.121568, 33.047116, 4.807969, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.870834, 239.115982, 343.414841, 238.727325, 2.381808, 37.027390, 432.167267, -0.173980, -0.027048, 0.014875, -1.548025, -28.434517, 420.353210, -1.079527, 33.075314, 422.014374, 344.859344, 0.261658, 0.261658, 0.261658, 0.017311, 0.023835, -0.013848
636, 47382835.226776, 32.181960, 5.195885, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.303131, 239.514542, 343.402237, 239.097229, 2.341607, 37.561249, 431.483398, -0.181678, -0.031404, 0.013774, -1.096734, -28.384089, 419.833649, -0.592507, 32.530998, 421.790436, 344.859344, 0.208416, 0.208416, 0.208416, 0.003462, 0.028629, -0.011185
637, 47382846.332036, 30.929409, 4.995729, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.312653, 239.643051, 343.437378, 239.419891, 2.275294, 37.714474, 432.378082, -0.197083, -0.030972, 0.012792, -0.707122, -28.522499, 421.248383, -0.437095, 32.626564, 423.180511, 344.859344, 0.198571, 0.198571, 0.198571, -0.010919, 0.033423, -0.007989
638, 47382857.437296, 29.805607, 5.015781, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.337387, 239.822800, 343.307037, 239.237556, 2.292911, 37.913204, 432.130676, -0.178665, -0.037502, 0.015837, -0.926945, -28.289614, 420.145447, -0.216636, 32.543652, 422.496674, 344.894897, 0.202266, 0.202266, 0.202266, -0.022637, 0.035021, -0.004794
639, 47382868.542557, 28.568106, 4.779427, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.252808, 240.118134, 343.443390, 239.801773, 2.402759, 38.202145, 432.396179, -0.184121, -0.036801, 0.012381, -0.241260, -28.486244, 420.605072, 0.144574, 32.680336, 422.929565, 344.894897, 0.226309, 0.226309, 0.226309, -0.029028, 0.024368, -0.003728
640, 47382879.647818, 28.363002, 5.130156, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.329193, 240.132324, 343.186493, 239.635811, 2.432575, 38.393909, 433.085327, -0.172453, -0.033872, 0.014492, -0.443606, -28.196733, 420.943146, 0.161992, 32.597183, 423.061646, 344.894897, 0.242310, 0.242310, 0.242310, -0.032224, 0.013715, 0.001598
641, 47382890.753078, 26.157273, 5.438802, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 293.160538, 240.384026, 343.078568, 239.999832, 2.779831, 38.796478, 433.446991, -0.172660, -0.041848, 0.013141, -0.000206, -28.070951, 421.025085, 0.470813, 32.851490, 423.682922, 344.943329, 0.240026, 0.240026, 0.240026, -0.030626, -0.001198, 0.001598
642, 47382901.858286, 34.773940, 5.341614, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.921738, 240.473656, 342.969910, 240.251556, 2.783247, 38.893730, 433.281281, -0.169414, -0.027321, 0.012759, 0.306619, -27.952406, 421.230316, 0.579656, 33.084293, 422.922455, 344.943329, 0.137473, 0.137473, 0.137473, -0.021039, -0.022504, 0.009587
643, 47382912.963547, 34.543002, 5.678229, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.708038, 240.673386, 342.641510, 240.674789, 2.960260, 39.246914, 433.959412, -0.172200, -0.026767, 0.014591, 0.823997, -27.603102, 421.999756, 0.825490, 33.402287, 423.644104, 344.943329, 0.046958, 0.046958, 0.046958, -0.017843, -0.026232, 0.009055
644, 47382924.068807, 33.113211, 4.893073, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.610870, 240.625908, 342.612106, 240.530006, 3.114479, 39.213562, 433.620697, -0.177236, -0.030733, 0.014742, 0.646785, -27.549593, 421.729401, 0.767274, 33.520599, 423.636353, 344.949036, 0.098759, 0.098759, 0.098759, -0.009854, -0.018775, 0.012783
645, 47382935.174068, 31.698314, 4.750677, 346.146332, 345.584412, 320.000000, 240.000000, 640, 480, 292.424606, 240.755066, 342.334305, 240.522408, 3.554110, 39.295918, 434.175385, -0.177169, -0.037057, 0.013610, 0.637982, -27.231209, 422.040558, 0.927218, 33.807457, 424.375671, 344.949036, 0.138680, 0.138680, 0.138680, -0.001332, -0.005992, 0.014914
