captureTime,frameNumber,leftEyes[0].x,leftEyes[0].y,leftEyes[1].x,leftEyes[1].y,rightEyes[0].x,rightEyes[0].y,rightEyes[1].x,rightEyes[1].y,leftEyes[0].x.2d,leftEyes[0].y.2d,leftEyes[1].x.2d,leftEyes[1].y.2d,rightEyes[0].x.2d,rightEyes[0].y.2d,rightEyes[1].x.2d,rightEyes[1].y.2d
365654.5083,382,323.6403809,264.5359497,382.9766541,264.4755249,362.9041443,267.9783325,422.8251343,267.7061157,327.3152466,264.6563721,387.130127,264.0926819,367.6276855,267.2613831,427.5743103,266.8197327
365654.5246,383,323.7478638,264.4200439,383.2529297,264.2850342,363.0286865,267.900116,423.1031494,267.5624695,327.6870117,264.6824951,387.4564514,264.184906,367.8513184,267.4396057,427.8011169,267.0330811
365654.5414,384,323.1824646,264.3384399,383.0354004,263.7247925,362.7375183,267.8582459,422.7260742,267.1827393,327.48703,264.6818848,387.2191162,264.1756287,367.5250854,267.5687561,427.4483337,267.1319885
365654.5577,385,321.9515381,264.2019653,381.682312,263.4772949,361.7727051,267.5923157,421.5169373,267.1891174,326.6734314,264.6392822,386.3166809,264.1138,366.6363831,267.6326904,426.4693298,267.1988525
365654.5745,386,320.5830078,264.0941162,380.2781372,263.8901978,360.1849365,267.2228088,419.928894,266.8773193,325.2923889,264.5479126,384.9096375,264.0808105,365.1470642,267.6370239,424.9726257,267.2159119
365654.5918,387,318.7460327,263.8527832,377.9543457,263.2119751,358.2347107,266.9535828,417.9084167,266.7891235,323.3801575,264.4242554,382.8713074,263.9735107,363.1699219,267.5702209,422.9008789,267.1584167
365654.6077,388,316.0024414,264.1264038,375.8952026,263.2096558,355.670105,266.7409058,415.574585,266.3934021,320.8690796,264.3312073,380.3972778,263.8455811,360.6207581,267.4754639,420.3671265,267.0476074
365654.6246,389,313.4278259,264.0985107,372.783783,263.3164673,352.9279175,266.5561829,412.7626343,266.276825,317.9235229,264.2419434,377.4140625,263.7200317,357.5873718,267.3484192,417.3388672,266.9398193
365654.641,390,309.5806274,263.7112427,369.1177368,262.4068604,349.4576416,265.9872131,409.4014282,265.7668762,314.4082947,264.0967102,373.9118958,263.4893799,354.027771,267.1508484,413.838562,266.7390442
365654.6576,391,305.9104919,263.1271362,365.5591431,262.3545532,345.6898804,265.3464661,405.4106445,265.4471741,310.4737854,263.9144897,369.9919434,263.2957764,350.0604553,266.8911743,409.8902893,266.5391846
365654.6745,392,301.6967163,263.1818237,360.9516602,262.4031982,341.4703064,264.9628296,401.0977173,264.7449341,306.1033325,263.7713623,365.5641479,263.1325378,345.7028198,266.6456299,405.4664307,266.3199158
